*******************************************************************************
 Revised: July 31, 2013                  Sun                                 10

 PHYSICAL PROPERTIES (updated 2018-Aug-15):
  GM, km^3/s^2          = 132712440041.93938  Mass, 10^24 kg        = ~1988500
  Vol. mean radius, km  = 695700              Volume, 10^12 km^3    = 1412000
  Solar radius (IAU)    = 696000 km           Mean density, g/cm^3  = 1.408
  Radius (photosphere)  = 696500 km           Angular diam at 1 AU  = 1919.3"
  Photosphere temp., K  = 6600 (bottom)       Photosphere temp., K  = 4400(top)
  Photospheric depth    = ~500 km             Chromospheric depth   = ~2500 km
  Flatness, f           = 0.00005             Adopted sid. rot. per.= 25.38 d
  Surface gravity       =  274.0 m/s^2        Escape speed, km/s    =  617.7
  Pole (RA,DEC), deg.   = (286.13, 63.87)     Obliquity to ecliptic = 7.25 deg.
  Solar constant (1 AU) = 1367.6 W/m^2        Luminosity, 10^24 J/s = 382.8
  Mass-energy conv rate = 4.260 x 10^9 kg/s   Effective temp, K     = 5772
  Sunspot cycle         = 11.4 yr             Cycle 24 sunspot min. = 2008 A.D.

  Motion relative to nearby stars = apex : R.A.= 271 deg.; DEC.= +30 deg.
                                    speed: 19.4 km/s (0.0112 au/day)
  Motion relative to 2.73K BB/CBR = apex : l= 264.7 +- 0.8; b= 48.2 +- 0.5 deg.
                                    speed: 369 +-11 km/s
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Sat Jan  8 06:02:04 2022 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Sun (10)                        {source: DE441}
Center body name: Earth (399)                     {source: DE441}
Center-site name: (user defined site below)
*******************************************************************************
Start time      : A.D. 2022-Jan-08 00:00:00.0000 UT      
Stop  time      : A.D. 2022-Feb-07 00:00:00.0000 UT      
Step-size       : 5 minutes
*******************************************************************************
Target pole/equ : IAU_SUN                         {East-longitude positive}
Target radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Center geodetic : 301.500100,-34.333200,1.059E-12 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 301.500100,5272.50139,-3577.028 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ITRF93                          {East-longitude positive}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Sun
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE441}
Rel. light bend : Sun, EARTH                      {source: DE441}
Rel. lght bnd GM: 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : HMS
Time format     : CAL 
RTS-only print  : NO       
EOP file        : eop.220106.p220401                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2022-JAN-06. PREDICTS-> 2022-MAR-31
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
 Date__(UT)__HR:MN, , ,Azi_(a-app), Elev_(a-app),
 2022-Jan-08 04:10, , , 177.379877,   -33.375866,
 2022-Jan-08 04:15, , , 175.997168,   -33.316724,
 2022-Jan-08 04:20, , , 174.617428,   -33.232766,
 2022-Jan-08 04:25, , , 173.241668,   -33.124103,
 2022-Jan-08 04:30, , , 171.870879,   -32.990879,
 2022-Jan-08 04:35, , , 170.506022,   -32.833266,
 2022-Jan-08 04:40, , , 169.148032,   -32.651469,
 2022-Jan-08 04:45, , , 167.797805,   -32.445718,
 2022-Jan-08 04:50, , , 166.456201,   -32.216274,
 2022-Jan-08 04:55, , , 165.124035,   -31.963419,
 2022-Jan-08 05:00, , , 163.802078,   -31.687463,
 2022-Jan-08 05:05, , , 162.491055,   -31.388736,
 2022-Jan-08 05:10, , , 161.191639,   -31.067588,
 2022-Jan-08 05:15, , , 159.904453,   -30.724389,
 2022-Jan-08 05:20, , , 158.630067,   -30.359524,
 2022-Jan-08 05:25, , , 157.369001,   -29.973394,
 2022-Jan-08 05:30, , , 156.121721,   -29.566413,
 2022-Jan-08 05:35, , , 154.888640,   -29.139004,
 2022-Jan-08 05:40, , , 153.670120,   -28.691602,
 2022-Jan-08 05:45, , , 152.466474,   -28.224647,
 2022-Jan-08 05:50, , , 151.277965,   -27.738587,
 2022-Jan-08 05:55, , , 150.104808,   -27.233873,
 2022-Jan-08 06:00, , , 148.947173,   -26.710959,
 2022-Jan-08 06:05, , , 147.805186,   -26.170301,
 2022-Jan-08 06:10, , , 146.678931,   -25.612354,
 2022-Jan-08 06:15, , , 145.568454,   -25.037572,
 2022-Jan-08 06:20, , , 144.473763,   -24.446407,
 2022-Jan-08 06:25, , , 143.394830,   -23.839308,
 2022-Jan-08 06:30, , , 142.331599,   -23.216719,
 2022-Jan-08 06:35, , , 141.283978,   -22.579080,
 2022-Jan-08 06:40, , , 140.251852,   -21.926824,
 2022-Jan-08 06:45, , , 139.235078,   -21.260378,
 2022-Jan-08 06:50, , , 138.233490,   -20.580161,
 2022-Jan-08 06:55, , , 137.246903,   -19.886586,
 2022-Jan-08 07:00, , , 136.275110,   -19.180057,
 2022-Jan-08 07:05, , , 135.317888,   -18.460971,
 2022-Jan-08 07:10,A, , 134.374999,   -17.729714,
 2022-Jan-08 07:15,A, , 133.446191,   -16.986665,
 2022-Jan-08 07:20,A, , 132.531200,   -16.232194,
 2022-Jan-08 07:25,A, , 131.629750,   -15.466662,
 2022-Jan-08 07:30,A, , 130.741559,   -14.690419,
 2022-Jan-08 07:35,A, , 129.866335,   -13.903808,
 2022-Jan-08 07:40,A, , 129.003779,   -13.107161,
 2022-Jan-08 07:45,A, , 128.153589,   -12.300803,
 2022-Jan-08 07:50,N, , 127.315455,   -11.485049,
 2022-Jan-08 07:55,N, , 126.489065,   -10.660204,
 2022-Jan-08 08:00,N, , 125.674105,    -9.826565,
 2022-Jan-08 08:05,N, , 124.870257,    -8.984421,
 2022-Jan-08 08:10,N, , 124.077204,    -8.134050,
 2022-Jan-08 08:15,N, , 123.294625,    -7.275726,
 2022-Jan-08 08:20,N, , 122.522200,    -6.409711,
 2022-Jan-08 08:25,C, , 121.759610,    -5.536260,
 2022-Jan-08 08:30,C, , 121.006534,    -4.655621,
 2022-Jan-08 08:35,C, , 120.262654,    -3.768034,
 2022-Jan-08 08:40,C, , 119.527650,    -2.873731,
 2022-Jan-08 08:45,C, , 118.801206,    -1.972938,
 2022-Jan-08 08:50,C, , 118.083004,    -1.065874,
 2022-Jan-08 08:55,*,r, 117.372729,    -0.152751,
 2022-Jan-08 09:00,*, , 116.670068,     0.766227,
 2022-Jan-08 09:05,*, , 115.974707,     1.690858,
 2022-Jan-08 09:10,*, , 115.286334,     2.620951,
 2022-Jan-08 09:15,*, , 114.604638,     3.556318,
 2022-Jan-08 09:20,*, , 113.929309,     4.496776,
 2022-Jan-08 09:25,*, , 113.260038,     5.442148,
 2022-Jan-08 09:30,*, , 112.596515,     6.392264,
 2022-Jan-08 09:35,*, , 111.938432,     7.346956,
 2022-Jan-08 09:40,*, , 111.285480,     8.306063,
 2022-Jan-08 09:45,*, , 110.637350,     9.269426,
 2022-Jan-08 09:50,*, , 109.993732,    10.236892,
 2022-Jan-08 09:55,*, , 109.354313,    11.208311,
 2022-Jan-08 10:00,*, , 108.718783,    12.183539,
 2022-Jan-08 10:05,*, , 108.086826,    13.162433,
 2022-Jan-08 10:10,*, , 107.458125,    14.144854,
 2022-Jan-08 10:15,*, , 106.832360,    15.130667,
 2022-Jan-08 10:20,*, , 106.209206,    16.119740,
 2022-Jan-08 10:25,*, , 105.588336,    17.111942,
 2022-Jan-08 10:30,*, , 104.969416,    18.107148,
 2022-Jan-08 10:35,*, , 104.352108,    19.105232,
 2022-Jan-08 10:40,*, , 103.736065,    20.106071,
 2022-Jan-08 10:45,*, , 103.120936,    21.109546,
 2022-Jan-08 10:50,*, , 102.506357,    22.115536,
 2022-Jan-08 10:55,*, , 101.891961,    23.123926,
 2022-Jan-08 11:00,*, , 101.277364,    24.134598,
 2022-Jan-08 11:05,*, , 100.662174,    25.147439,
 2022-Jan-08 11:10,*, , 100.045985,    26.162333,
 2022-Jan-08 11:15,*, ,  99.428378,    27.179167,
 2022-Jan-08 11:20,*, ,  98.808917,    28.197827,
 2022-Jan-08 11:25,*, ,  98.187146,    29.218202,
 2022-Jan-08 11:30,*, ,  57.562594,    80.240176,
 2022-Jan-08 11:35,*, ,  96.934765,    31.263636,
 2022-Jan-08 11:40,*, ,  26.303141,    92.288467,
 2022-Jan-08 11:45,*, ,  95.667177,    33.314553,
 2022-Jan-08 11:50,*, ,  95.026299,    34.341775,
 2022-Jan-08 11:55,*, ,  94.379901,    35.370014,
 2022-Jan-08 12:00,*, ,  93.727341,    36.399147,
 2022-Jan-08 12:05,*, ,  93.067941,    37.429050,
 2022-Jan-08 12:10,*, ,  92.400977,    38.459592,
 2022-Jan-08 12:15,*, ,  91.725677,    39.490641,
 2022-Jan-08 12:20,*, ,  91.041219,    40.522059,
 2022-Jan-08 12:25,*, ,  90.346720,    41.553703,
 2022-Jan-08 12:30,*, ,  89.641234,    42.585424,
 2022-Jan-08 12:35,*, ,  88.923743,    43.617064,
 2022-Jan-08 12:40,*, ,  88.193147,    44.648459,
 2022-Jan-08 12:45,*, ,  87.448261,    45.679434,
 2022-Jan-08 12:50,*, ,  86.687796,    46.709805,
 2022-Jan-08 12:55,*, ,  85.910358,    47.739375,
 2022-Jan-08 13:00,*, ,  85.114425,    48.767933,
 2022-Jan-08 13:05,*, ,  84.298339,    49.795254,
 2022-Jan-08 13:10,*, ,  83.460286,    50.821092,
 2022-Jan-08 13:15,*, ,  82.598278,    51.845185,
 2022-Jan-08 13:20,*, ,  81.710132,    52.867245,
 2022-Jan-08 13:25,*, ,  80.793444,    53.886959,
 2022-Jan-08 13:30,*, ,  79.845560,    54.903984,
 2022-Jan-08 13:35,*, ,  78.863546,    55.917941,
 2022-Jan-08 13:40,*, ,  77.844148,    56.928412,
 2022-Jan-08 13:45,*, ,  76.783751,    57.934936,
 2022-Jan-08 13:50,*, ,  75.678333,    58.936995,
 2022-Jan-08 13:55,*, ,  74.523402,    59.934014,
 2022-Jan-08 14:00,*, ,  73.313941,    60.925344,
 2022-Jan-08 14:05,*, ,  72.044329,    61.910258,
 2022-Jan-08 14:10,*, ,  70.708263,    62.887930,
 2022-Jan-08 14:15,*, ,  69.298661,    63.857425,
 2022-Jan-08 14:20,*, ,  67.807567,    64.817677,
 2022-Jan-08 14:25,*, ,  66.226028,    65.767467,
 2022-Jan-08 14:30,*, ,  64.543980,    66.705398,
 2022-Jan-08 14:35,*, ,  62.750117,    67.629862,
 2022-Jan-08 14:40,*, ,  60.831764,    68.539006,
 2022-Jan-08 14:45,*, ,  58.774768,    69.430686,
 2022-Jan-08 14:50,*, ,  56.563414,    70.302424,
 2022-Jan-08 14:55,*, ,  54.180398,    71.151346,
 2022-Jan-08 15:00,*, ,  51.606903,    71.974125,
 2022-Jan-08 15:05,*,m,  48.822834,    72.766918,
 2022-Jan-08 15:10,*,m,  45.807285,    73.525300,
 2022-Jan-08 15:15,*,m,  42.539352,    74.244210,
 2022-Jan-08 15:20,*,m,  38.999404,    74.917919,
 2022-Jan-08 15:25,*,m,  35.170914,    75.540025,
 2022-Jan-08 15:30,*,m,  31.042929,    76.103525,
 2022-Jan-08 15:35,*,m,  26.613113,    76.600955,
 2022-Jan-08 15:40,*,m,  21.891097,    77.024657,
 2022-Jan-08 15:45,*,m,  16.901579,    77.367160,
 2022-Jan-08 15:50,*,m,  11.686332,    77.621683,
 2022-Jan-08 15:55,*,m,   6.304163,    77.782696,
 2022-Jan-08 16:00,*,m,   0.828105,    77.846464,
 2022-Jan-08 16:05,*,t, 355.339833,    77.811452,
 2022-Jan-08 16:10,*,m, 349.922175,    77.678504,
 2022-Jan-08 16:15,*,m, 344.651378,    77.450745,
 2022-Jan-08 16:20,*,m, 339.590826,    77.133233,
 2022-Jan-08 16:25,*,m, 334.787389,    76.732441,
 2022-Jan-08 16:30,*,m, 330.270617,    76.255692,
 2022-Jan-08 16:35,*,m, 326.054254,    75.710636,
 2022-Jan-08 16:40,*,m, 322.139112,    75.104824,
 2022-Jan-08 16:45,*,m, 318.516420,    74.445414,
 2022-Jan-08 16:50,*,m, 315.170997,    73.738992,
 2022-Jan-08 16:55,*,m, 312.083900,    72.991486,
 2022-Jan-08 17:00,*,m, 309.234442,    72.208151,
 2022-Jan-08 17:05,*,m, 306.601618,    71.393591,
 2022-Jan-08 17:10,*,m, 304.165032,    70.551813,
 2022-Jan-08 17:15,*,m, 301.905462,    69.686288,
 2022-Jan-08 17:20,*,m, 299.805148,    68.800014,
 2022-Jan-08 17:25,*,m, 297.847911,    67.895581,
 2022-Jan-08 17:30,*,m, 296.019145,    66.975224,
 2022-Jan-08 17:35,*,m, 294.305757,    66.040877,
 2022-Jan-08 17:40,*,m, 292.696054,    65.094215,
 2022-Jan-08 17:45,*,m, 291.179620,    64.136692,
 2022-Jan-08 17:50,*,m, 289.747192,    63.169578,
 2022-Jan-08 17:55,*,m, 288.390535,    62.193979,
 2022-Jan-08 18:00,*,m, 287.102321,    61.210868,
 2022-Jan-08 18:05,*,m, 285.876031,    60.221100,
 2022-Jan-08 18:10,*,m, 284.705855,    59.225429,
 2022-Jan-08 18:15,*,m, 283.586604,    58.224527,
 2022-Jan-08 18:20,*,m, 282.513643,    57.218988,
 2022-Jan-08 18:25,*,m, 281.482817,    56.209345,
 2022-Jan-08 18:30,*,m, 280.490397,    55.196077,
 2022-Jan-08 18:35,*,m, 279.533029,    54.179612,
 2022-Jan-08 18:40,*,m, 278.607689,    53.160341,
 2022-Jan-08 18:45,*,m, 277.711646,    52.138616,
 2022-Jan-08 18:50,*,m, 276.842426,    51.114758,
 2022-Jan-08 18:55,*,m, 275.997783,    50.089062,
 2022-Jan-08 19:00,*,m, 275.175675,    49.061798,
 2022-Jan-08 19:05,*,m, 274.374239,    48.033215,
 2022-Jan-08 19:10,*,m, 273.591774,    47.003545,
 2022-Jan-08 19:15,*,m, 272.826719,    45.973003,
 2022-Jan-08 19:20,*,m, 272.077645,    44.941788,
 2022-Jan-08 19:25,*,m, 271.343233,    43.910088,
 2022-Jan-08 19:30,*,m, 270.622268,    42.878082,
 2022-Jan-08 19:35,*,m, 269.913628,    41.845936,
 2022-Jan-08 19:40,*,m, 269.216271,    40.813808,
 2022-Jan-08 19:45,*,m, 268.529230,    39.781851,
 2022-Jan-08 19:50,*,m, 267.851605,    38.750209,
 2022-Jan-08 19:55,*,m, 267.182557,    37.719022,
 2022-Jan-08 20:00,*,m, 266.521300,    36.688423,
 2022-Jan-08 20:05,*,m, 265.867096,    35.658542,
 2022-Jan-08 20:10,*,m, 265.219254,    34.629506,
 2022-Jan-08 20:15,*,m, 264.577122,    33.601437,
 2022-Jan-08 20:20,*,m, 263.940084,    32.574456,
 2022-Jan-08 20:25,*,m, 263.307556,    31.548682,
 2022-Jan-08 20:30,*,m, 262.678987,    30.524230,
 2022-Jan-08 20:35,*,m, 262.053850,    29.501216,
 2022-Jan-08 20:40,*,m, 261.431642,    28.479754,
 2022-Jan-08 20:45,*,m, 260.811886,    27.459958,
 2022-Jan-08 20:50,*,m, 260.194121,    26.441940,
 2022-Jan-08 20:55,*,m, 259.577906,    25.425814,
 2022-Jan-08 21:00,*,m, 258.962817,    24.411692,
 2022-Jan-08 21:05,*,m, 258.348444,    23.399689,
 2022-Jan-08 21:10,*,m, 257.734390,    22.389919,
 2022-Jan-08 21:15,*,m, 257.120271,    21.382497,
 2022-Jan-08 21:20,*,m, 256.505713,    20.377540,
 2022-Jan-08 21:25,*,m, 255.890352,    19.375167,
 2022-Jan-08 21:30,*,m, 255.273832,    18.375496,
 2022-Jan-08 21:35,*,m, 254.655807,    17.378650,
 2022-Jan-08 21:40,*,m, 254.035934,    16.384752,
 2022-Jan-08 21:45,*,m, 253.413880,    15.393929,
 2022-Jan-08 21:50,*,m, 252.789313,    14.406309,
 2022-Jan-08 21:55,*,m, 252.161909,    13.422022,
 2022-Jan-08 22:00,*,m, 251.531347,    12.441205,
 2022-Jan-08 22:05,*,m, 250.897306,    11.463993,
 2022-Jan-08 22:10,*,m, 250.259473,    10.490527,
 2022-Jan-08 22:15,*,m, 249.617533,     9.520953,
 2022-Jan-08 22:20,*,m, 248.971175,     8.555417,
 2022-Jan-08 22:25,*,m, 248.320087,     7.594071,
 2022-Jan-08 22:30,*,m, 247.663960,     6.637072,
 2022-Jan-08 22:35,*,m, 247.002484,     5.684581,
 2022-Jan-08 22:40,*,m, 246.335350,     4.736761,
 2022-Jan-08 22:45,*,m, 245.662249,     3.793784,
 2022-Jan-08 22:50,*,m, 244.982870,     2.855824,
 2022-Jan-08 22:55,*,m, 244.296902,     1.923060,
 2022-Jan-08 23:00,*,m, 243.604035,     0.995680,
 2022-Jan-08 23:05,*,m, 242.903955,     0.073874,
 2022-Jan-08 23:10,C,s, 242.196349,    -0.842161,
 2022-Jan-08 23:15,C,m, 241.480903,    -1.752221,
 2022-Jan-08 23:20,C,m, 240.757299,    -2.656096,
 2022-Jan-08 23:25,C,m, 240.025221,    -3.553571,
 2022-Jan-08 23:30,C,m, 239.284351,    -4.444421,
 2022-Jan-08 23:35,C,m, 238.534368,    -5.328417,
 2022-Jan-08 23:40,N,m, 237.774953,    -6.205320,
 2022-Jan-08 23:45,N,m, 237.005783,    -7.074886,
 2022-Jan-08 23:50,N,m, 236.226538,    -7.936862,
 2022-Jan-08 23:55,N,m, 235.436895,    -8.790987,
 2022-Jan-09 00:00,N,m, 234.636533,    -9.636993,
 2022-Jan-09 00:05,N,m, 233.825132,   -10.474601,
 2022-Jan-09 00:10,N,m, 233.002371,   -11.303526,
 2022-Jan-09 00:15,A,m, 232.167932,   -12.123474,
 2022-Jan-09 00:20,A,m, 231.321502,   -12.934142,
 2022-Jan-09 00:25,A,m, 230.462766,   -13.735216,
 2022-Jan-09 00:30,A,m, 229.591419,   -14.526377,
 2022-Jan-09 00:35,A,m, 228.707157,   -15.307292,
 2022-Jan-09 00:40,A,m, 227.809684,   -16.077624,
 2022-Jan-09 00:45,A,m, 226.898711,   -16.837021,
 2022-Jan-09 00:50,A,m, 225.973956,   -17.585127,
 2022-Jan-09 00:55, ,m, 225.035151,   -18.321573,
 2022-Jan-09 01:00, ,m, 224.082035,   -19.045984,
 2022-Jan-09 01:05, ,m, 223.114362,   -19.757973,
 2022-Jan-09 01:10, ,m, 222.131902,   -20.457147,
 2022-Jan-09 01:15, ,m, 221.134440,   -21.143101,
 2022-Jan-09 01:20, ,m, 220.121779,   -21.815427,
 2022-Jan-09 01:25, ,m, 219.093744,   -22.473704,
 2022-Jan-09 01:30, ,m, 218.050182,   -23.117506,
 2022-Jan-09 01:35, ,m, 216.990964,   -23.746401,
 2022-Jan-09 01:40, ,m, 215.915988,   -24.359949,
 2022-Jan-09 01:45, ,m, 214.825184,   -24.957706,
 2022-Jan-09 01:50, ,m, 213.718510,   -25.539222,
 2022-Jan-09 01:55, ,m, 212.595961,   -26.104045,
 2022-Jan-09 02:00, ,m, 211.457566,   -26.651718,
 2022-Jan-09 02:05, ,m, 210.303396,   -27.181784,
 2022-Jan-09 02:10, ,m, 209.133560,   -27.693786,
 2022-Jan-09 02:15, ,m, 207.948211,   -28.187266,
 2022-Jan-09 02:20, ,m, 206.747549,   -28.661769,
 2022-Jan-09 02:25, ,m, 205.531820,   -29.116844,
 2022-Jan-09 02:30, ,m, 204.301318,   -29.552045,
 2022-Jan-09 02:35, ,m, 203.056389,   -29.966933,
 2022-Jan-09 02:40, ,m, 201.797431,   -30.361078,
 2022-Jan-09 02:45, ,m, 200.524892,   -30.734059,
 2022-Jan-09 02:50, ,m, 199.239276,   -31.085470,
 2022-Jan-09 02:55, ,m, 197.941137,   -31.414915,
 2022-Jan-09 03:00, ,m, 196.631085,   -31.722019,
 2022-Jan-09 03:05, ,m, 195.309778,   -32.006420,
 2022-Jan-09 03:10, ,m, 193.977928,   -32.267780,
 2022-Jan-09 03:15, ,m, 192.636294,   -32.505780,
 2022-Jan-09 03:20, ,m, 191.285683,   -32.720125,
 2022-Jan-09 03:25, ,m, 189.926945,   -32.910546,
 2022-Jan-09 03:30, , , 188.560971,   -33.076800,
 2022-Jan-09 03:35, , , 187.188687,   -33.218672,
 2022-Jan-09 03:40, , , 185.811055,   -33.335976,
 2022-Jan-09 03:45, , , 184.429063,   -33.428559,
 2022-Jan-09 03:50, , , 183.043723,   -33.496297,
 2022-Jan-09 03:55, , , 181.656064,   -33.539099,
 2022-Jan-09 04:00, , , 180.267128,   -33.556909,
 2022-Jan-09 04:05, , , 178.877964,   -33.549702,
 2022-Jan-09 04:10, , , 177.489624,   -33.517488,
 2022-Jan-09 04:15, , , 176.103152,   -33.460310,
 2022-Jan-09 04:20, , , 174.719584,   -33.378245,
 2022-Jan-09 04:25, , , 173.339941,   -33.271402,
 2022-Jan-09 04:30, , , 171.965220,   -33.139922,
 2022-Jan-09 04:35, , , 170.596395,   -32.983977,
 2022-Jan-09 04:40, , , 169.234409,   -32.803771,
 2022-Jan-09 04:45, , , 167.880166,   -32.599533,
 2022-Jan-09 04:50, , , 166.534537,   -32.371522,
